HousingID,prediction6
ID #34,100152.679285637
ID #43,96290.1004491922
ID #47,179091.407418637
ID #54,101789.467050642
ID #57,95906.6550867246
ID #81,133032.280582476
ID #94,195488.944577125
ID #107,353804.559272466
ID #122,285237.47701138
ID #142,414436.375562405
ID #159,402021.994540532
ID #160,241069.79858968
ID #176,97452.5299983415
ID #190,102325.691290236
ID #195,171811.746449914
ID #196,126478.917031594
ID #197,123178.090501992
ID #199,94969.2545482138
ID #204,94308.5701035678
ID #220,141710.779376302
ID #227,245579.22067998
ID #230,145615.068592004
ID #258,91686.9791937257
ID #266,129377.378227728
ID #285,175411.111132502
ID #289,205392.721010474
ID #298,125462.261089196
ID #299,113491.546148134
ID #311,117673.821672606
ID #320,119237.563115957
ID #332,124294.418365156
ID #344,104742.825099285
ID #347,111981.657399434
ID #358,340980.717340095
ID #365,325525.4396762
ID #391,182233.986989155
ID #396,155704.808072066
ID #399,271307.362887104
ID #400,319501.262342331
ID #402,360446.920185005
ID #405,454068.8322985
ID #410,493204.330194402
ID #416,419544.365149636
ID #429,285854.376134002
ID #447,357838.238182258
ID #461,278362.52262524
ID #474,116134.445470691
ID #490,130281.03000192
ID #495,492296.891273283
ID #505,102757.673518913
ID #507,125101.673189715
ID #519,366347.122811233
ID #520,391039.372345282
ID #521,394023.840798292
ID #539,198712.653391725
ID #541,197097.686998155
ID #554,174637.22436181
ID #584,254752.824339371
ID #587,281586.888162422
ID #602,225653.610996482
ID #610,225003.805587825
ID #650,195958.926764092
ID #677,247743.693961952
ID #685,142404.665392864
ID #692,214577.693082129
ID #699,206131.127117739
ID #708,234197.842647176
ID #709,147073.086870845
ID #714,160065.918973574
ID #718,190313.432618394
ID #734,242381.112040442
ID #743,194322.965588154
ID #762,172513.358003529
ID #773,165109.582538822
ID #776,278606.878270916
ID #783,163707.685791978
ID #797,177930.604994092
ID #800,154803.456416379
ID #807,175640.388392029
ID #827,196510.767398755
ID #828,179948.862313555
ID #846,283563.053888703
ID #864,297192.612196264
ID #873,204846.016239945
ID #896,245300.601507626
ID #902,303853.567435803
ID #911,259291.291683974
ID #915,285930.810058812
ID #917,265275.10295884
ID #924,498762.065764833
ID #928,296799.969468139
ID #931,229208.261083694
ID #935,159088.947691363
ID #944,301072.74435289
ID #958,283860.949711678
ID #972,342543.077686751
ID #990,250231.772147676
ID #991,302343.481528249
ID #998,195811.079398082
ID #1016,256003.628882172
ID #1039,135809.487773719
ID #1065,68112.7645939528
ID #1074,137485.754454194
ID #1077,118008.312980169
ID #1080,89066.7182040439
ID #1108,119643.030812734
ID #1117,78463.8159031377
ID #1124,112039.813521842
ID #1129,82910.6921391478
ID #1156,92522.1869990632
ID #1172,70611.3363446374
ID #1201,76323.1366492701
ID #1208,76638.6352968395
ID #1210,130966.976985754
ID #1217,102557.518152227
ID #1230,114247.688769914
ID #1238,137439.379995751
ID #1249,90788.0772671719
ID #1264,150108.125916988
ID #1267,142854.436786065
ID #1268,70993.692086026
ID #1271,128757.804520159
ID #1275,194426.508290483
ID #1289,175506.783605462
ID #1293,143097.624342008
ID #1316,208148.900276583
ID #1318,182156.566651101
ID #1323,113751.096744414
ID #1332,175169.434379735
ID #1337,195382.322294901
ID #1338,167100.525958552
ID #1350,172300.54037251
ID #1361,120458.22284095
ID #1369,146081.955909063
ID #1373,183689.802461663
ID #1374,195953.943738876
ID #1383,207848.785109652
ID #1397,171410.207477321
ID #1402,189111.145020059
ID #1406,196167.60901231
ID #1420,318169.536567811
ID #1435,198680.216516852
ID #1439,199166.455659591
ID #1448,197975.123088992
ID #1475,168075.675905053
ID #1480,147421.852907219
ID #1483,135053.901709683
ID #1507,172946.477116496
ID #1539,383329.501400694
ID #1557,412202.185602206
ID #1568,324880.136529668
ID #1572,323468.666391618
ID #1592,498002.911349731
ID #1593,300135.682941114
ID #1594,492339.000873849
ID #1600,389391.668222567
ID #1602,175589.046394526
ID #1604,333761.721912357
ID #1606,154442.193981688
ID #1608,185957.067190219
ID #1617,413219.032010678
ID #1647,457373.080432816
ID #1655,367282.86641887
ID #1657,276351.715357834
ID #1659,281954.764936493
ID #1663,245485.293348399
ID #1669,308698.387657685
ID #1693,240335.480241084
ID #1694,228396.458647931
ID #1706,177183.78718232
ID #1707,214097.431718315
ID #1711,174654.92254055
ID #1723,119836.219712574
ID #1733,109059.51180382
ID #1748,103683.818943342
ID #1763,180364.746516702
ID #1770,124297.512285051
ID #1791,77281.6844423956
ID #1825,167068.313406094
ID #1878,75983.0959853005
ID #1887,104643.283887149
ID #1903,145691.608032091
ID #1914,183322.772545114
ID #1919,124171.024331122
ID #1925,121477.816386814
ID #1965,104017.467566479
ID #1972,143942.232765409
ID #1984,136979.763490558
ID #2007,56665.274952689
ID #2013,112032.173605467
ID #2016,61029.5932149574
ID #2023,61851.9729009298
ID #2025,55477.7709497402
ID #2030,56736.9187239333
ID #2036,56301.6417116177
ID #2042,192013.554645594
ID #2056,57637.7937020662
ID #2059,62067.5982284935
ID #2071,70394.5673304169
ID #2120,79476.9880184233
ID #2132,87640.2069428695
ID #2140,76114.3359056756
ID #2147,76438.585879687
ID #2152,58033.2309441407
ID #2154,114952.110622215
ID #2161,95284.6534308114
ID #2171,105708.492628445
ID #2183,74202.3359512786
ID #2202,113956.966743979
ID #2206,135870.129517028
ID #2218,206732.264125104
ID #2219,135257.598420777
ID #2226,217178.095740333
ID #2237,107669.429144588
ID #2238,112007.387694083
ID #2239,135853.054520817
ID #2243,84916.0902952906
ID #2267,75724.2483950672
ID #2270,79214.4921319313
ID #2271,57167.3311283092
ID #2275,75484.4584114973
ID #2281,69939.1291724403
ID #2283,76837.4024168756
ID #2333,107360.456778184
ID #2347,109173.406948498
ID #2349,84943.6147746833
ID #2351,89457.1220690778
ID #2355,103209.231654136
ID #2387,67749.247966813
ID #2388,96129.6208961509
ID #2396,143556.391177995
ID #2397,108281.533018474
ID #2399,103674.855652571
ID #2432,68645.7932011937
ID #2433,57636.5562842541
ID #2446,70257.8073791153
ID #2452,57641.4403513075
ID #2458,78427.916209461
ID #2462,72234.637994969
ID #2466,62376.7456866941
ID #2473,78947.8940608461
ID #2505,87280.4798011672
ID #2513,77988.8268325392
ID #2531,70580.2993780297
ID #2535,79600.6969651444
ID #2548,63713.4835306579
ID #2554,72270.2123233895
ID #2562,61316.6309500296
ID #2565,64676.5875229721
ID #2574,86962.6016467127
ID #2579,94403.4454034159
ID #2603,82748.0627895747
ID #2609,93478.8371535763
ID #2610,76685.9587273086
ID #2617,94804.8249224822
ID #2645,96921.2814690336
ID #2653,79006.5363153294
ID #2657,73241.430555544
ID #2661,78707.913460491
ID #2666,63656.3992733626
ID #2686,78470.2525291661
ID #2694,173402.742690638
ID #2749,115814.945493826
ID #2751,69341.2881476534
ID #2760,80721.2017706056
ID #2766,85559.5325930154
ID #2768,73294.8280964597
ID #2769,76668.1194409963
ID #2779,52592.6427122418
ID #2793,76631.275052327
ID #2799,77522.9052308733
ID #2809,74982.5866346242
ID #2813,54263.3323427975
ID #2854,99874.7605861803
ID #2856,95036.6030172111
ID #2865,99348.3300604045
ID #2873,54476.3174322885
ID #2882,54663.2143189901
ID #2921,58884.0964345532
ID #2922,66970.8622759105
ID #2928,55286.7159081326
ID #2935,56111.9144274699
ID #2952,62338.6302899886
ID #2954,62278.9400743297
ID #2968,177061.855448036
ID #2985,54893.9645086277
ID #2987,57735.9055225337
ID #2994,108855.348096848
ID #2996,121442.21121428
ID #3010,99528.3347807938
ID #3019,107711.154610998
ID #3026,156066.141546039
ID #3028,86353.5460463786
ID #3031,56811.0636995581
ID #3032,83596.5584206311
ID #3056,54179.0550709401
ID #3103,199498.843384464
ID #3105,115905.82912826
ID #3106,233915.216683299
ID #3111,105727.064675077
ID #3137,128404.919624743
ID #3141,153182.534413171
ID #3148,152628.129758307
ID #3149,89403.848144767
ID #3164,69102.4506125534
ID #3165,67938.0589165312
ID #3178,103143.641063064
ID #3193,84929.2655489696
ID #3208,81559.3652702416
ID #3209,70970.4590789853
ID #3216,54972.8729760988
ID #3219,85815.5223334237
ID #3223,59001.0943065902
ID #3263,77369.6279065306
ID #3271,154369.654928886
ID #3273,90607.9825616446
ID #3276,82567.739004121
ID #3309,107543.409450428
ID #3314,158932.744731417
ID #3324,196375.905068793
ID #3343,88508.8209694222
ID #3344,95657.0008481967
ID #3364,62763.5066490456
ID #3374,242413.578073696
ID #3386,333992.827838918
ID #3391,160153.319336801
ID #3399,226800.430677498
ID #3401,239773.661637558
ID #3431,149170.881795277
ID #3437,133283.277108289
ID #3444,133430.656731776
ID #3449,143544.025454375
ID #3456,232466.323321073
ID #3458,223994.77085929
